🇨🇳央视+凤凰,#genre#
CCTV-8 电视剧,http://39.134.66.110/PLTV/88888888/224/3221225795/index.m3u8#http://140.207.241.3:8080/live/program/live/cctv8hd/4000000/mnf.m3u8#http://39.135.138.60:18890/PLTV/88888910/224/3221225635/index.m3u8#http://39.135.138.59:18890/PLTV/88888910/224/3221225631/index.m3u8#http://125.210.152.19:9090/live/hzgq-cctv8gq-h264.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225635/index.m3u8#http://171.108.239.90:8181/tsfile/live/1034_1.m3u8#http://59.44.10.113:9901/tsfile/live/1053_1.m3u8#http://39.135.49.209:6610/PLTV/88888888/224/3221227174/1.m3u8?servicetype=1#http://39.135.55.105:6610/PLTV/88888888/224/3221227174/index.m3u8?servicetype=1#http://39.135.55.105:6610/PLTV/88888888/224/3221227174/index.m3u8?servicetype=1#http://117.148.179.160/PLTV/88888888/224/3221231694/index.m3u8#http://39.135.34.150:8080/000000001000/1000000001000003736/1.m3u8?xtkg
CCTV-9 纪录,http://39.134.66.110/PLTV/88888888/224/3221225676/index.m3u8#http://39.135.138.59:18890/PLTV/88888910/224/3221225626/index.m3u8#http://39.135.138.60:18890/PLTV/88888910/224/3221225646/index.m3u8#http://117.148.179.162/PLTV/88888888/224/3221231697/index.m3u8#http://125.210.152.19:9090/live/hzgq-cctv9gq-h264.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225626/index.m3u8#http://171.108.239.90:8181/tsfile/live/1035_1.m3u8#http://59.44.10.113:9901/tsfile/live/1002_1.m3u8#http://39.135.49.209:6610/PLTV/88888888/224/3221225929/1.m3u8?servicetype=1#http://39.135.49.209:6610/PLTV/88888888/224/3221226923/1.m3u8?servicetype=1#http://39.135.49.209:6610/PLTV/88888888/224/3221225820/1.m3u8?servicetype=1#http://39.135.55.105:6610/PLTV/88888888/224/3221225820/index.m3u8?servicetype=1#http://39.135.55.105:6610/PLTV/88888888/224/3221226923/index.m3u8?servicetype=1#http://39.135.55.105:6610/PLTV/88888888/224/3221225929/index.m3u8?servicetype=1#http://39.135.55.105:6610/PLTV/88888888/224/3221225820/index.m3u8?servicetype=1#http://39.135.55.105:6610/PLTV/88888888/224/3221226923/index.m3u8?servicetype=1#http://39.135.55.105:6610/PLTV/88888888/224/3221225929/index.m3u8?servicetype=1#http://117.148.179.162/PLTV/88888888/224/3221231697/index.m3u8#http://39.135.34.150:8080/000000001000/1000000001000014583/1.m3u8?xtkg
CCTV-10 科教,http://39.134.66.110/PLTV/88888888/224/3221225677/index.m3u8#http://39.134.66.66/PLTV/88888888/224/3221225677/index.m3u8#http://140.207.241.3:8080/live/program/live/cctv10hd/4000000/mnf.m3u8#http://39.135.138.59:18890/PLTV/88888910/224/3221225627/index.m3u8#http://39.135.138.60:18890/PLTV/88888910/224/3221225636/index.m3u8#http://125.210.152.19:9090/live/hzgq-cctv10gq-h264.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225627/index.m3u8#http://59.44.10.113:9901/tsfile/live/1004_1.m3u8#http://39.135.49.209:6610/PLTV/88888888/224/3221225931/1.m3u8?servicetype=1#http://39.135.49.209:6610/PLTV/88888888/224/3221226976/1.m3u8?servicetype=1#http://39.135.49.209:6610/PLTV/88888888/224/3221225814/1.m3u8?servicetype=1#http://39.135.55.105:6610/PLTV/88888888/224/3221225814/index.m3u8?servicetype=1#http://39.135.55.105:6610/PLTV/88888888/224/3221225931/index.m3u8?servicetype=1#http://39.135.55.105:6610/PLTV/88888888/224/3221226976/index.m3u8?servicetype=1#http://39.135.55.105:6610/PLTV/88888888/224/3221225814/index.m3u8?servicetype=1#http://39.135.55.105:6610/PLTV/88888888/224/3221225931/index.m3u8?servicetype=1#http://39.135.55.105:6610/PLTV/88888888/224/3221226976/index.m3u8?servicetype=1#http://117.148.179.164/PLTV/88888888/224/3221232492/index.m3u8#http://117.148.179.175/PLTV/88888888/224/3221231666/index.m3u8#http://39.135.34.150:8080/000000001000/7019587760656900133/1.m3u8?xtkg
CCTV-11 戏曲,http://39.135.138.59:18890/PLTV/88888910/224/3221225628/index.m3u8#http://125.210.152.19:9090/live/hzgq-cctv11gq-h264.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225628/index.m3u8#http://59.44.10.113:9901/tsfile/live/1043_1.m3u8#http://39.135.49.209:6610/PLTV/88888888/224/3221225815/1.m3u8?servicetype=1#http://39.135.49.209:6610/PLTV/88888888/224/3221226927/1.m3u8?servicetype=1#http://39.135.55.105:6610/PLTV/88888888/224/3221225815/index.m3u8?servicetype=1#http://39.135.55.105:6610/PLTV/88888888/224/3221226927/index.m3u8?servicetype=1#http://39.135.55.105:6610/PLTV/88888888/224/3221225815/index.m3u8?servicetype=1#http://39.135.55.105:6610/PLTV/88888888/224/3221226927/index.m3u8?servicetype=1#http://117.148.179.164/PLTV/88888888/224/3221231711/index.m3u8#http://39.135.34.150:8080/000000001000/1000000002000019789/1.m3u8?xtkg#http://39.134.65.162/PLTV/88888888/224/3221225517/index.m3u8
CCTV-12 社会与法,http://39.134.66.110/PLTV/88888888/224/3221225669/index.m3u8#http://39.134.66.66/PLTV/88888888/224/3221225669/index.m3u8#http://39.135.138.59:18890/PLTV/88888910/224/3221225629/index.m3u8#http://39.135.138.60:18890/PLTV/88888910/224/3221225637/index.m3u8#http://117.148.179.150/PLTV/88888888/224/3221231660/index.m3u8#http://125.210.152.19:9090/live/hzgq-cctv12gq-h264.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225629/index.m3u8#http://171.108.239.90:8181/tsfile/live/1105_1.m3u8#http://171.108.239.90:8181/tsfile/live/1038_1.m3u8#http://59.44.10.113:9901/tsfile/live/1007_1.m3u8#http://39.135.49.209:6610/PLTV/88888888/224/3221226931/1.m3u8?servicetype=1#http://39.135.49.209:6610/PLTV/88888888/224/3221225816/1.m3u8?servicetype=1#http://39.135.49.209:6610/PLTV/88888888/224/3221225932/1.m3u8?servicetype=1#http://39.135.55.105:6610/PLTV/88888888/224/3221225816/index.m3u8?servicetype=1#http://39.135.55.105:6610/PLTV/88888888/224/3221225932/index.m3u8?servicetype=1#http://39.135.55.105:6610/PLTV/88888888/224/3221226931/index.m3u8?servicetype=1#http://39.135.55.105:6610/PLTV/88888888/224/3221225816/index.m3u8?servicetype=1#http://39.135.55.105:6610/PLTV/88888888/224/3221225932/index.m3u8?servicetype=1#http://39.135.55.105:6610/PLTV/88888888/224/3221226931/index.m3u8?servicetype=1#http://117.148.179.150/PLTV/88888888/224/3221231660/index.m3u8




CCTV-13 新闻,http://39.135.138.60:18890/PLTV/88888910/224/3221225638/index.m3u8#http://39.135.138.59:18890/PLTV/88888910/224/3221225638/index.m3u8#http://125.210.152.19:9090/live/hzgq-cctv13gq-h264.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225638/index.m3u8#http://171.108.239.90:8181/tsfile/live/1039_1.m3u8#http://59.44.10.113:9901/tsfile/live/1083_1.m3u8#http://39.135.49.209:6610/PLTV/88888888/224/3221225817/1.m3u8?servicetype=1#http://39.135.49.209:6610/PLTV/88888888/224/3221226985/1.m3u8?servicetype=1#http://39.135.55.105:6610/PLTV/88888888/224/3221225817/index.m3u8?servicetype=1#http://39.135.55.105:6610/PLTV/88888888/224/3221226985/index.m3u8?servicetype=1#http://39.135.55.105:6610/PLTV/88888888/224/3221225817/index.m3u8?servicetype=1#http://39.135.55.105:6610/PLTV/88888888/224/3221225817/index.m3u8?servicetype=1#http://39.135.55.105:6610/PLTV/88888888/224/3221226985/index.m3u8?servicetype=1#http://39.135.138.59:18890/PLTV/88888910/224/3221225638/index.m3u8#http://39.135.34.150:8080/000000001000/1000000002000021303/1.m3u8?xtkg

CCTV-14 少儿,http://39.134.66.110/PLTV/88888888/224/3221225674/index.m3u8#http://39.134.66.66/PLTV/88888888/224/3221225674/index.m3u8#http://140.207.241.3:8080/live/program/live/cctvsehd/4000000/mnf.m3u8#http://39.135.138.60:18890/PLTV/88888910/224/3221225639/index.m3u8#http://39.135.138.59:18890/PLTV/88888910/224/3221225640/index.m3u8#http://125.210.152.19:9090/live/hzgq-cctv14gq-h264.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225639/index.m3u8#http://171.108.239.90:8181/tsfile/live/1040_1.m3u8#http://39.135.49.209:6610/PLTV/88888888/224/3221225819/1.m3u8?servicetype=1#http://39.135.49.209:6610/PLTV/88888888/224/3221225933/1.m3u8?servicetype=1#http://39.135.49.209:6610/PLTV/88888888/224/3221227086/1.m3u8?servicetype=1#http://39.135.55.105:6610/PLTV/88888888/224/3221225819/index.m3u8?servicetype=1#http://39.135.55.105:6610/PLTV/88888888/224/3221225933/index.m3u8?servicetype=1#http://39.135.55.105:6610/PLTV/88888888/224/3221227086/index.m3u8?servicetype=1#http://39.135.55.105:6610/PLTV/88888888/224/3221225819/index.m3u8?servicetype=1#http://39.135.55.105:6610/PLTV/88888888/224/3221225933/index.m3u8?servicetype=1#http://39.135.55.105:6610/PLTV/88888888/224/3221227086/index.m3u8?servicetype=1#http://117.148.179.182/PLTV/88888888/224/3221231648/index.m3u8#http://39.134.66.66/PLTV/88888888/224/3221225674/index.m3u8
CCTV-15 音乐,http://39.135.138.60:18890/PLTV/88888910/224/3221225641/index.m3u8#http://125.210.152.19:9090/live/hzgq-cctv15gq-h264.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225641/index.m3u8#http://171.108.239.90:8181/tsfile/live/1041_1.m3u8#http://39.135.49.209:6610/PLTV/88888888/224/3221225818/1.m3u8?servicetype=1#http://39.135.49.209:6610/PLTV/88888888/224/3221226989/1.m3u8?servicetype=1#http://39.135.55.105:6610/PLTV/88888888/224/3221225818/index.m3u8?servicetype=1#http://39.135.55.105:6610/PLTV/88888888/224/3221226989/index.m3u8?servicetype=1#http://39.135.55.105:6610/PLTV/88888888/224/3221225818/index.m3u8?servicetype=1#http://39.135.55.105:6610/PLTV/88888888/224/3221226989/index.m3u8?servicetype=1#http://117.148.179.169/PLTV/88888888/224/3221231693/index.m3u8#http://39.135.34.150:8080/000000001000/1000000002000008163/1.m3u8?xtkg
CCTV-16 奥林匹克,http://39.134.115.163:8080/PLTV/88888910/224/3221226230/index.m3u8#http://liveop.cctv.cn/hls/CCTV16HD/playlist.m3u8#http://125.210.152.19:9090/live/hzgq-cctv16gq-h264.m3u8#http://171.108.239.90:8181/tsfile/live/1042_1.m3u8#http://39.135.49.209:6610/PLTV/88888888/224/3221227125/1.m3u8?servicetype=1#http://39.135.49.209:6610/PLTV/88888888/224/3221227148/1.m3u8?servicetype=1#http://39.135.55.105:6610/PLTV/88888888/224/3221227148/index.m3u8?servicetype=1#http://39.135.55.105:6610/PLTV/88888888/224/3221227125/index.m3u8?servicetype=1#http://39.135.55.105:6610/PLTV/88888888/224/3221227148/index.m3u8?servicetype=1#http://39.135.55.105:6610/PLTV/88888888/224/3221227125/index.m3u8?servicetype=1#http://39.135.55.105:6610/PLTV/88888888/224/3221227162/index.m3u8?servicetype=1#http://iptv.tvfix.org/hls/cctv16hd.m3u8
CCTV-16 奥林匹克4K,http://liveop.cctv.cn/hls/CCTV16HD/playlist.m3u8#http://39.135.49.209:6610/PLTV/88888888/224/3221227162/1.m3u8?servicetype=1
CCTV-17 农业农村,http://39.134.115.163:8080/PLTV/88888910/224/3221225908/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225909/index.m3u8#http://39.134.66.110/PLTV/88888888/224/3221225708/index.m3u8#http://39.135.138.59:18890/PLTV/88888910/224/3221225908/index.m3u8#http://117.148.179.167/PLTV/88888888/224/3221231772/index.m3u8#http://125.210.152.19:9090/live/hzgq-cctv17gq-h264.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225908/index.m3u8#http://171.108.239.90:8181/tsfile/live/1043_1.m3u8#http://39.135.49.209:6610/PLTV/88888888/224/3221226990/1.m3u8?servicetype=1#http://39.135.49.209:6610/PLTV/88888888/224/3221226986/1.m3u8?servicetype=1#http://39.135.55.105:6610/PLTV/88888888/224/3221226990/index.m3u8?servicetype=1#http://39.135.55.105:6610/PLTV/88888888/224/3221226986/index.m3u8?servicetype=1#http://39.135.55.105:6610/PLTV/88888888/224/3221226990/index.m3u8?servicetype=1#http://39.135.55.105:6610/PLTV/88888888/224/3221226986/index.m3u8?servicetype=1#http://117.148.179.167/PLTV/88888888/224/3221231772/index.m3u8

CCTV-4K 超高清,http://liveop.cctv.cn/hls/4KHD/playlist.m3u8#https://p.ggiptv.com/v/4k.m3u8#http://liveop.cctv.cn/hls/4KHD/playlist.m3u8#http://open.live-web.timetv.cn/live03/cctv4k.m3u8#http://39.135.55.105:6610/PLTV/88888888/224/3221226998/index.m3u8?servicetype=1
CCTV-4K,http://117.148.179.157/PLTV/88888888/224/3221233460/index.m3u8
CCTV-8K,http://117.148.179.157/PLTV/88888888/224/3221233350/index.m3u8
CETV1,http://39.135.49.209:6610/PLTV/88888888/224/3221227067/1.m3u8?servicetype=1#http://117.148.179.156/PLTV/88888888/224/3221231714/index.m3u8#http://117.148.179.149/PLTV/88888888/224/3221231552/index.m3u8#http://39.134.66.66/PLTV/88888888/224/3221225563/index.m3u8
CETV2,http://117.148.179.162/PLTV/88888888/224/3221231607/index.m3u8
CETV3,http://117.148.179.136/PLTV/88888888/224/3221231543/index.m3u8
CETV4,http://117.148.179.155/PLTV/88888888/224/3221231613/index.m3u8
CGTN-英语,http://live.cgtn.com/1000/prog_index.m3u8#http://39.135.55.105:6610/PLTV/88888888/224/3221225822/index.m3u8?servicetype=1#https://news.cgtn.com/resource/live/english/cgtn-news.m3u8?sign=1652235852-b3d2d3595f8f9f6fb0779c5a9a7d0285#http://39.135.55.105:6610/PLTV/88888888/224/3221226980/index.m3u8?servicetype=1#http://117.148.179.174/PLTV/88888888/224/3221231592/index.m3u8
CGTN-俄语,http://39.135.55.105:6610/PLTV/88888888/224/3221227103/index.m3u8?servicetype=1#ttp://liveru.cgtn.com/1000r/prog_index.m3u8
CGTN-法语,http://39.135.55.105:6610/PLTV/88888888/224/3221227220/index.m3u8?servicetype=1#http://117.148.179.156/PLTV/88888888/224/3221231550/index.m3u8
CGTN-纪录,http://39.135.55.105:6610/PLTV/88888888/224/3221225813/index.m3u8?servicetype=1#http://117.148.179.144/PLTV/88888888/224/3221231492/index.m3u8#http://39.135.138.58:18890/PLTV/88888888/224/3221225645/index.m3u8
CGTN-西语,http://39.135.55.105:6610/PLTV/88888888/224/3221227238/index.m3u8?servicetype=1http://livees.cgtn.com/500e/prog_index.m3u8
CGTN-阿语,http://39.135.55.105:6610/PLTV/88888888/224/3221227224/index.m3u8?servicetype=1
测试-1,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226547/1.m3u8
测试-2,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226546/1.m3u8
信号测试,http://39.135.55.105:6610/PLTV/88888888/224/3221226664/index.m3u8?servicetype=1
凤凰中文,http://play-live.ifeng.com/live/06OLEGEGM4G.m3u8#http://playtv-live.ifeng.com:80/live/06OLEGEGM4G.m3u8#http://39.135.55.105:6610/PLTV/88888888/224/3221227222/index.m3u8?servicetype=1#http://117.169.120.138:8080/live/fhchinese/index.m3u8#https://playtv-live.ifeng.com/live/06OLEGEGM4G_tv2.m3u8#http://playtv-live.ifeng.com/live/06OLEGEGM4G_tv1.m3u8
凤凰资讯,http://play-live.ifeng.com/live/06OLEEWQKN4.m3u8#http://playtv-live.ifeng.com:80/live/06OLEEWQKN4.m3u8#http://39.135.55.105:6610/PLTV/88888888/224/3221227226/index.m3u8?servicetype=1#http://117.169.120.138:8080/live/fhzixun/.m3u8#http://117.169.120.138:8080/live/fhzixun/index.m3u8#http://playtv-live.ifeng.com/live/06OLEEWQKN4_tv1.m3u8#http://playtv-live.ifeng.com/live/06OLEEWQKN4_tv2.m3u8
凤凰香港,http://183.207.249.34/PLTV/3/224/3221226975/index.m3u8#http://hk.jilu8.cn/81/index.m3u8
凤凰电影,http://111.59.189.40:8445/tsfile/live/1022_1.m3u8#http://111.59.189.40:8445/tsfile/live/1022_1.m3u8
凤凰时政频道,http://liveplay.rednet.cn/live/fenghuang_tv_cq4jaka.m3u8
新华中文,http://source07.v.news.cn/live/CNC_CN/playlist.m3u8
新华英语,http://source07.v.news.cn/live/CNC_EN/playlist.m3u8
CNC,http://source07.v.news.cn/live/CNC_CN/playlist.m3u8
CNC英文,http://39.135.138.59:18890/PLTV/88888910/224/3221225693/index.m3u8
CNC中文,http://39.135.138.59:18890/PLTV/88888910/224/3221225694/index.m3u8
国际综合,http://play.cec-tv.com.cn/channel/cec-tv3.m3u8
